meeting	sequence	date	type	speaker	statement	newcode	mem_num
201601	0	2016-01-27	meeting	YELLEN	Good afternoon, everyone.	50.0	65.0
201601	1	2016-01-27	meeting	YELLEN	I know that many of you have had to deal with pretty challenging travel conditions to get here, so I want to express my appreciation for your willingness to brave the snow and ice to participate in today’s meeting.	50.0	65.0
201601	2	2016-01-27	meeting	YELLEN	Before we get started, I want to discuss one housekeeping detail that pertains to dinner this evening.	50.0	65.0
201601	3	2016-01-27	meeting	YELLEN	Normally, we would have a dinner after the FOMC meeting.	50.0	65.0
201601	4	2016-01-27	meeting	YELLEN	And it’s not impossible for us to do it tonight: The Board staff is prepared to provide dinner.	50.0	65.0
201601	5	2016-01-27	meeting	YELLEN	However, almost all of the people who live in town here face quite challenging conditions in terms of getting home.	50.0	65.0
201601	6	2016-01-27	meeting	YELLEN	It is also forecast to rain this afternoon and maybe freeze over.	50.0	65.0
201601	7	2016-01-27	meeting	YELLEN	And so I am, frankly, concerned about people staying late and dealing with those conditions.	50.0	65.0
201601	8	2016-01-27	meeting	YELLEN	So would it be acceptable to people to make your own arrangements for dinner and cancel this evening?	50.0	65.0
201601	9	2016-01-27	meeting	PARTICIPANTS	Yes.	50.0	999.0
201601	10	2016-01-27	meeting	YELLEN	Thank you.	50.0	65.0
201601	11	2016-01-27	meeting	YELLEN	Okay.	50.0	65.0
201601	12	2016-01-27	meeting	YELLEN	So we will consider dinner to be canceled.	50.0	65.0
201601	13	2016-01-27	meeting	WILLIAMS	Will there be a sufficient supply of doughnuts during the break?	50.0	102.0
201601	15	2016-01-27	meeting	YELLEN	Well, we gave you a good lunch.	50.0	65.0
201601	16	2016-01-27	meeting	YELLEN	[Laughter]	50.0	65.0
201601	17	2016-01-27	meeting	WILLIAMS	Tomorrow morning, tomorrow morning.	50.0	102.0
201601	18	2016-01-27	meeting	YELLEN	You should have confidence and trust your colleagues to do the best they possibly can on that score.	50.0	65.0
201601	19	2016-01-27	meeting	YELLEN	Okay.	50.0	65.0
201601	20	2016-01-27	meeting	YELLEN	Importantly, I would like to welcome Neel Kashkari to his first FOMC meeting.	50.0	65.0
201601	21	2016-01-27	meeting	YELLEN	Neel became president of the Federal Reserve Bank of Minneapolis at the turn of this year.	50.0	65.0
201601	22	2016-01-27	meeting	YELLEN	President Kashkari brings valuable government-sector experience, including service as senior advisor to the Secretary of the Treasury and assistant secretary of the Treasury during the global financial crisis.	50.0	65.0
201601	23	2016-01-27	meeting	YELLEN	In addition, he has extensive experience in the private financial sector, and going back before that, he was employed as an aerospace engineer, contributing to what we affectionately call the “real side” of the economy.	50.0	65.0
201601	24	2016-01-27	meeting	YELLEN	So, Neel, we look forward to working with you.	50.0	65.0
201601	25	2016-01-27	meeting	YELLEN	And I would also like to welcome back onto the Committee Presidents Bullard, George, Mester, and Rosengren.	50.0	65.0
201601	26	2016-01-27	meeting	YELLEN	Now, as usual, this entire FOMC meeting will be considered a joint meeting with the Board of Governors.	50.0	65.0
201601	27	2016-01-27	meeting	YELLEN	So I need a motion to close the Board meeting.	50.0	65.0
201601	28	2016-01-27	meeting	FISCHER	So moved.	50.0	108.0
201601	29	2016-01-27	meeting	YELLEN	Thank you.	50.0	65.0
201601	30	2016-01-27	meeting	YELLEN	Without objection.	50.0	65.0
201601	31	2016-01-27	meeting	YELLEN	Now, let’s begin with the organizational portion of the meeting, and, following well-worn precedent, I will turn the floor over to Governor Fischer, who will handle the nominations and elections for the positions of Chair and Vice Chair of the Committee.	51.0	65.0
201601	32	2016-01-27	meeting	FISCHER	Thank you, Madam—Chair.	51.0	108.0
201601	33	2016-01-27	meeting	FISCHER	I’m not sure—[laughter].	51.0	108.0
201601	34	2016-01-27	meeting	YELLEN	Well, we’ll see.	51.0	65.0
201601	35	2016-01-27	meeting	FISCHER	Thank you.	51.0	108.0
201601	36	2016-01-27	meeting	YELLEN	“Madam” seems just fine.	51.0	65.0
201601	37	2016-01-27	meeting	FISCHER	Thank you, madam.	51.0	108.0
201601	38	2016-01-27	meeting	FISCHER	I’ll be calling for two sets of nominations and votes, and the first is, I’d like to ask for a nomination for Committee Chair.	51.0	108.0
201601	39	2016-01-27	meeting	TARULLO	I will nominate Janet Yellen.	51.0	97.0
201601	40	2016-01-27	meeting	FISCHER	Is there a second?	51.0	108.0
201601	41	2016-01-27	meeting	POWELL	I second that nomination.	51.0	104.0
201601	42	2016-01-27	meeting	FISCHER	Any other nominations or discussion?	51.0	108.0
201601	43	2016-01-27	meeting	FISCHER	[No response]	51.0	108.0
201601	44	2016-01-27	meeting	FISCHER	Without objection.	51.0	108.0
201601	45	2016-01-27	meeting	FISCHER	Now I’d like to ask for a nomination for the position of Committee Vice Chair.	51.0	108.0
201601	46	2016-01-27	meeting	TARULLO	I will nominate William C.	51.0	97.0
201601	47	2016-01-27	meeting	TARULLO	Dudley.	51.0	97.0
201601	48	2016-01-27	meeting	FISCHER	Is there a second?	51.0	108.0
201601	49	2016-01-27	meeting	POWELL	I second that nomination, too.	51.0	104.0
201601	50	2016-01-27	meeting	FISCHER	Any other nominations or discussion?	51.0	108.0
201601	51	2016-01-27	meeting	FISCHER	[No response]	51.0	108.0
201601	52	2016-01-27	meeting	FISCHER	Without objection.	51.0	108.0
201601	53	2016-01-27	meeting	YELLEN	Thank you, Governor Fischer.	51.0	65.0
201601	54	2016-01-27	meeting	YELLEN	Next, we’re going to turn to the election of staff officers.	51.0	65.0
201601	55	2016-01-27	meeting	YELLEN	Brian, can I ask you to read the list of nominated staff members?	51.0	65.0
201601	56	2016-01-27	meeting	MADIGAN	Certainly.	51.0	999.0
201601	57	2016-01-27	meeting	MADIGAN	For Secretary, Brian Madigan; Deputy Secretary, Matthew Luecke; Assistant Secretaries, David Skidmore and Michelle Smith; General Counsel, Scott Alvarez; Deputy General Counsel, Thomas Baxter; Assistant General Counsel, Richard Ashton; Economists, Steven Kamin, Thomas Laubach, and David Wilcox; Associate Economists from the Board, Thomas Connors, Michael Leahy, David Lebow, Stephen Meyer, and William Wascher; and Associate Economists from the Banks, James McAndrews, Ellis Tallman, Geoffrey Tootell, Christopher Waller, and Troy Davig.	51.0	999.0
201601	58	2016-01-27	meeting	YELLEN	Do I have a motion to approve these nominations?	51.0	65.0
201601	59	2016-01-27	meeting	FISCHER	So moved.	51.0	108.0
201601	60	2016-01-27	meeting	YELLEN	Okay.	51.0	65.0
